Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,4252,,"Cauliflower, steamed (without addition of salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,116,Automated calculation,,28,Automated calculation,,0.3,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,92.2,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.13,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.51,Calculation on the basis of ingredients,,52.4,Calculation on the basis of ingredients,,0.67,Calculation on the basis of ingredients,,47.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Ja
1660,,,"Celeriac piccata, prepared",,Prepared dishes/Other savoury dishes,,per 100g edible portion,668,Automated calculation,,161,Automated calculation,,11.6,Calculation on the basis of ingredients,,4.4,Calculation on the basis of ingredients,,4.7,Calculation on the basis of ingredients,,1.2,Calculation on the basis of ingredients,,87,Calculation on the basis of ingredients,,6.8,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,4.7,Calculation on the basis of ingredients,,4.3,Calculation on the basis of ingredients,,5.2,Calculation on the basis of ingredients,,0.8,Automated calculation,,0,Calculation on the basis of ingredients,,72.1,Automated calculation,,100,Automated calculation,,93,Automated calculation,,87,Calculation on the basis of ingredients,,80,Calculation on the basis of ingredients,,66,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0.13,Calculation on the basis of ingredients,,0.31,Calculation on the basis of ingredients,,0.56,Calculation on the basis of ingredients,,21.8,Calculation on the basis of ingredients,,0.66,Calculation on the basis of ingredients,,4.5,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0.67,Calculation on the basis of ingredients,,270,Calculation on the basis of ingredients,,310,Calculation on the basis of ingredients,,490,Calculation on the basis of ingredients,,97,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,120,Calculation on the basis of ingredients,,0.8,Calculation on the basis of ingredients,,9.6,Calculation on the basis of ingredients,,0.8,Calculation on the basis of ingredients,,n.d.,,,Ja
357,3828,1000820,"Celeriac, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,118,Automated calculation,,28,Automated calculation,,0.3,-,43,tr.,-,36,tr.,-,36,0.2,-,36,0,-,43,2.4,-,43,1.9,-,43,0.5,-,43,5,-,43,1.5,-,43,0.3,Automated calculation,,0,-,43,90,-,43,11,Automated calculation,,5,Automated calculation,,0,Estimation,51,65,Estimation,51,65,-,131,0.05,-,43,0.06,-,43,0.17,-,43,0,-,43,0.8,-,43,40,-,43,0.5,-,43,8,-,43,0,-,43,0.36,-,43,320,-,43,100,-,43,150,-,36,43,-,43,12,-,43,63,-,43,0.7,-,43,2.5,-,36,0.4,-,36,n.d.,,,Nein
1655,,,"Celeriac slices, breaded, prepared",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,578,Automated calculation,,138,Automated calculation,,5.8,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,3.5,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,58,Calculation on the basis of ingredients,,14.1,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,11.8,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,4.9,Calculation on the basis of ingredients,,0.8,Automated calculation,,0,Calculation on the basis of ingredients,,70.2,Automated calculation,,29,Automated calculation,,24,Automated calculation,,19,Calculation on the basis of ingredients,,62,Calculation on the basis of ingredients,,49,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,0.17,Calculation on the basis of ingredients,,0.68,Calculation on the basis of ingredients,,24.5,Calculation on the basis of ingredients,,0.64,Calculation on the basis of ingredients,,5,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0.67,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,310,Calculation on the basis of ingredients,,500,Calculation on the basis of ingredients,,50,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,96,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,6.8,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,n.d.,,,Ja
1013,4248,,"Celeriac, steamed",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,126,Automated calculation,,30,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,90.2,Automated calculation,,12,Automated calculation,,6,Automated calculation,,0,Calculation on the basis of ingredients,,69,Calculation on the basis of ingredients,,62,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.68,Calculation on the basis of ingredients,,25.5,Calculation on the basis of ingredients,,0.45,Calculation on the basis of ingredients,,6.8,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.38,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,85,Calculation on the basis of ingredients,,150,Calculation on the basis of ingredients,,43,Calculation on the basis of ingredients,,11,Calculation on the basis of ingredients,,64,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Ja
366,3834,1000829,"Celery, raw",,Vegetables/Fresh vegetables,,per 100g edible portion,61,Automated calculation,,15,Automated calculation,,0.1,-,43,tr.,-,43,tr.,-,43,tr.,-,43,0,-,43,1.5,-,43,1.5,-,43,0,-,43,2,-,43,0.9,-,43,0.3,Automated calculation,,0,-,43,94.4,-,43,95,Automated calculation,,48,Automated calculation,,0,Estimation,51,570,Estimation,51,570,-,131,0.05,-,43,0.04,-,43,0.07,-,43,0,-,43,0.4,-,43,18,-,43,0.4,-,43,8,-,43,0,-,43,0.2,-,43,310,-,43,110,-,43,130,-,9,52,-,43,14,-,43,32,-,43,0.5,-,43,1,-,36,0.1,-,36,n.d.,,,Nein
1026,4255,,"Celery, steamed (without addition of salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,64,Automated calculation,,15,Automated calculation,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,95.2,Automated calculation,,101,Automated calculation,,51,Automated calculation,,0,Calculation on the basis of ingredients,,606,Calculation on the basis of ingredients,,546,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.34,Calculation on the basis of ingredients,,11.5,Calculation on the basis of ingredients,,0.36,Calculation on the basis of ingredients,,6.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,280,Calculation on the basis of ingredients,,99,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,32,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,n.d.,,,Ja
1696,,,Cereal flakes (average),,"Bread, flakes and breakfast cereals/Flakes, bran and germs",,per 100g edible portion,1470,Automated calculation,,348,Automated calculation,,3.2,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,64,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,62,Calculation on the basis of ingredients,,9.7,Calculation on the basis of ingredients,,10.8,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,12.9,Automated calculation,,1,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,0.32,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2.78,Calculation on the basis of ingredients,,38.4,Calculation on the basis of ingredients,,0.71,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.55,Calculation on the basis of ingredients,,250,Calculation on the basis of ingredients,,7.4,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,26,Calculation on the basis of ingredients,,94,Calculation on the basis of ingredients,,280,Calculation on the basis of ingredients,,3.6,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1081,4306,,Cervelat (Swiss sausage),,Sausages and cold meats/Boiled sausage products,,per 100g edible portion,1030,Automated calculation,,249,Automated calculation,,21.5,-,1032,8.2,-,1032,9.7,-,1032,1.7,-,1032,51,-,1032,0.5,-,1032,0.5,-,1011,0,Estimation,1003,0,Estimation,1003,13.4,-,1032,2.1,Automated calculation,,0,Estimation,1003,61.8,-,1032,2,Automated calculation,,2,Automated calculation,,2,-,1003;1662;1690,2,Estimation,,2,Estimation,,0.33,-,1032;1673;1690,0.12,-,1032;1673;1690,0.09,-,1032;1673;1690,0.7,-,1032,3.05,-,1032;1673;1690,0.9,Estimation,,0.4,-,1032,37.3,-,1032,0.7,-,1032,tr.,-,1032,190,-,1032,840,-,1032,1140,-,1032,11,-,1032,13,-,1032,190,-,1032,0.8,-,1032,0.4,Estimation,,1.6,-,1032,6.8,-,1032,Nein
376,4745,1000839,"Chanterelle, raw",,Vegetables/Mushrooms,,per 100g edible portion,98,Automated calculation,,24,Automated calculation,,0.5,-,43,0.1,-,9,0,-,9,0.3,-,9,0,-,43,0.2,-,43,0.2,-,43,0,-,43,4.7,-,43,2.3,-,1660,0,Automated calculation,,0,-,43,91.5,-,43,96,Automated calculation,,48,Automated calculation,,0,Estimation,51,577,Estimation,51,577,-,66,0.02,-,43,0.23,-,43,0.04,-,9,0,-,43,6.5,-,43,25,-,9,2.5,-,9,6,-,43,2.1,-,43,0.1,-,9,510,-,43,3,-,43,30,-,9,8,-,43,14,-,43,44,-,43,6.5,-,43,3,-,9,0.6,-,9,n.d.,,,Nein
1038,4704,,"Chanterelle, stewed (without addition of fat and salt)",,Vegetables/Mushrooms,,per 100g edible portion,120,Automated calculation,,29,Automated calculation,,0.6,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,5.7,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,91.5,Automated calculation,,117,Automated calculation,,59,Automated calculation,,0,Calculation on the basis of ingredients,,704,Calculation on the basis of ingredients,,704,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.23,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,6.34,Calculation on the basis of ingredients,,18.3,Calculation on the basis of ingredients,,2.5,Calculation on the basis of ingredients,,5.3,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,480,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,9.5,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,51,Calculation on the basis of ingredients,,6.7,Calculation on the basis of ingredients,,3.5,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,n.d.,,,Ja
1569,,,"Cheese and sausage salad, prepared",,Prepared dishes/Salads,,per 100g edible portion,1080,Automated calculation,,262,Automated calculation,,22.6,Calculation on the basis of ingredients,,9.4,Calculation on the basis of ingredients,,9,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,45,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,13.8,Calculation on the basis of ingredients,,1.4,Automated calculation,,0,Calculation on the basis of ingredients,,62.5,Automated calculation,,99,Automated calculation,,88,Automated calculation,,77,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,128,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.76,Calculation on the basis of ingredients,,1.43,Calculation on the basis of ingredients,,7.7,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,18.7,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,1.62,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,560,Calculation on the basis of ingredients,,620,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,18,Calculation on the basis of ingredients,,260,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,6.2,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,n.d.,,,Ja
1601,,,"Cheese bread slices, prepared",,Prepared dishes/Other savoury dishes,,per 100g edible portion,1130,Automated calculation,,270,Automated calculation,,11.5,Calculation on the basis of ingredients,,6.2,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,86,Calculation on the basis of ingredients,,26,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,24.8,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,14.6,Calculation on the basis of ingredients,,1.4,Automated calculation,,0,Calculation on the basis of ingredients,,45.9,Automated calculation,,113,Automated calculation,,109,Automated calculation,,106,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,n.d.,,,0.11,Calculation on the basis of ingredients,,0.18,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.59,Calculation on the basis of ingredients,,0.67,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,0.38,Calculation on the basis of ingredients,,150,Calculation on the basis of ingredients,,560,Calculation on the basis of ingredients,,940,Calculation on the basis of ingredients,,310,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,1.2,Calculation on the basis of ingredients,,15,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,n.d.,,,Nein
1196,4695,,Cheese grated,,Milk and dairy products/Hard cheese,,per 100g edible portion,1620,Automated calculation,,390,Automated calculation,,29.4,Calculation on the basis of ingredients,,17.7,Calculation on the basis of ingredients,,6.9,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,89,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,31.5,Calculation on the basis of ingredients,,1.7,Automated calculation,,0,Calculation on the basis of ingredients,,38.5,Automated calculation,,298,Automated calculation,,288,Automated calculation,,278,Calculation on the basis of ingredients,,118,Calculation on the basis of ingredients,,118,Calculation on the basis of ingredients,,0.01,Calculation on the basis of ingredients,,0.34,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,1.91,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,0.62,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,0.57,Calculation on the basis of ingredients,,98,Calculation on the basis of ingredients,,680,Calculation on the basis of ingredients,,1400,Calculation on the basis of ingredients,,1190,Calculation on the basis of ingredients,,41,Calculation on the basis of ingredients,,730,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,40,Calculation on the basis of ingredients,,4.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1546,,,"Cherry pie, baked (with cake dough)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,659,Automated calculation,,157,Automated calculation,,6.2,Calculation on the basis of ingredients,,3.4,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,21.1,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,9,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,67.9,Automated calculation,,66,Automated calculation,,62,Automated calculation,,58,Calculation on the basis of ingredients,,47,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,10.3,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.24,Calculation on the basis of ingredients,,190,Calculation on the basis of ingredients,,90,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,27,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,47,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Nein
1545,,,"Cherry pie, baked (with puff pastry)",,"Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",,per 100g edible portion,646,Automated calculation,,154,Automated calculation,,7.1,Calculation on the basis of ingredients,,3.9,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,18.9,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,6.9,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,0.2,Automated calculation,,0,Calculation on the basis of ingredients,,69.7,Automated calculation,,75,Automated calculation,,71,Automated calculation,,67,Calculation on the basis of ingredients,,51,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.24,Calculation on the basis of ingredients,,10.1,Calculation on the basis of ingredients,,0.26,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.25,Calculation on the basis of ingredients,,190,Calculation on the basis of ingredients,,93,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,27,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,43,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,3.2,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,n.d.,,,Nein
882,4575,1001554,Cherry pie from Zug,,Sweets/Cakes and tarts,,per 100g edible portion,1400,Automated calculation,,335,Automated calculation,,18.7,-,9,8.5,-,9,7.5,-,9,1.6,-,9,90,-,9,34.6,-,9,27,-,9,7.6,-,9,1.5,-,9,4.8,-,9,0.2,Automated calculation,,0.9,-,9,38.8,-,9,145,Automated calculation,,138,Automated calculation,,132,-,8,75,Estimation,51,75,-,8,0.04,-,9,0.12,-,9,0.04,-,9,tr.,-,9,0.4,-,9,9,-,9,0.28,-,9,0.3,-,9,1,-,9,2.78,-,9,140,-,9,62,-,9,73,-,9,67,-,9,25,-,9,120,-,9,0.8,-,9,4.2,-,9,0.6,-,9,n.d.,,,Nein
394,4555,1000857,"Cherry, raw",,Fruit/Fresh fruit,,per 100g edible portion,314,Automated calculation,,74,Automated calculation,,0.5,-,43,0.1,-,43,0.1,-,43,0.2,-,43,0,-,43,15.3,-,43,15.3,-,43,0,-,43,1.7,-,43,1.3,-,43,0,Automated calculation,,0,-,43,80.8,-,43,6,Automated calculation,,3,Automated calculation,,0,Estimation,51,35,Estimation,51,20,-,121,0.03,-,43;1670,0.04,-,43;1670,0.05,-,43,0,-,43,0.26,-,43;1670,18.8,-,43;1670,0.18,-,43;1670,5.1,-,43;1670,0,-,43,0.1,-,43,250,-,43,3,-,43,3,-,9,17,-,43,13,-,43,17,-,43,0.4,-,43,1,-,9,0.1,-,9,n.d.,,,Nein
1052,3772,,"Cherry, stewed, drained (without addition of sugar)",,Fruit/Cooked fruit (incl. cans),,per 100g edible portion,361,Automated calculation,,85,Automated calculation,,0.6,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,17.6,Calculation on the basis of ingredients,,17.6,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,0,Automated calculation,,0,Calculation on the basis of ingredients,,78.4,Automated calculation,,7,Automated calculation,,3,Automated calculation,,0,Calculation on the basis of ingredients,,40,Calculation on the basis of ingredients,,17,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,15.1,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,4.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,250,Calculation on the basis of ingredients,,3.4,Calculation on the basis of ingredients,,3.4,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,15,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,n.d.,,,Ja
272,3949,841004,"Chestnut, raw",,"Nuts, seeds and oleaginous fruit",,per 100g edible portion,845,Automated calculation,,200,Automated calculation,,1.5,-,140,0.3,-,81,0.7,-,81,0.7,-,81,0,-,145,42.4,-,81,5,-,43,21.1,-,67,1.4,-,67,3.4,Estimation,1662,0,Automated calculation,,0,Estimation,51,50.7,-,67,10,Automated calculation,,5,Automated calculation,,0,Estimation,51,60,-,145,n.d.,,,0.24,-,145,0.11,-,145,0.35,-,156,0,-,156,1.1,-,156,58,-,156,0.48,-,156,33,-,137,0,-,145,0.5,-,145,380,-,67;1542,0.6,-,67;1542,13,-,8,18,-,67;1542,31,-,67;1542,59,-,67;1542,2.1,-,67;1542,0.1,-,145,1,-,67,n.d.,,,Nein
680,4724,1001245,"Chicken, breast (cut), raw",,Meat and offal/Poultry,,per 100g edible portion,445,Automated calculation,,105,Automated calculation,,1.2,-,50,0.4,-,9,0.5,-,9,0.3,-,9,44,-,24,0.4,-,50,0,-,22,0,Estimation,51,0,-,22,23.1,-,22,0.2,Automated calculation,,0,-,22,73.8,-,50,5,Automated calculation,,5,Automated calculation,,<5,-,104,0,Estimation,51,0,-,104,0.12,-,24,0.15,-,24,0.53,-,9,0.4,-,9,10.85,-,9;1673;1690,9,-,9,0.84,-,9,0,-,9,0,-,9,0.42,-,9,330,-,9,72,-,9,80,-,9,14,-,9,27,-,9,210,-,9,0.4,-,24,0.4,-,9,0.6,-,24,14,-,1544,Nein
23,3873,812064,"Chicken, breast, without skin, raw (France)",,Meat and offal/Poultry,,per 100g edible portion,462,Automated calculation,,109,Automated calculation,,0.9,-,146,0.3,-,146,0.3,-,146,0.3,-,146,56,-,146,0,Estimation,51,0,Estimation,51,n.d.,,,0,Estimation,51,25.2,-,146,0.1,Automated calculation,,0,Estimation,51,70.7,-,146,5,Automated calculation,,5,Automated calculation,,<5,-,104,0,Estimation,51,0,-,104,0.09,-,104,0.16,-,104,0.88,-,146,0.4,-,120,n.d.,,,12,-,120,0.87,-,159,0,Estimation,51,1.5,-,117,0.57,-,142,350,-,146,31,-,146,80,-,8,3.9,-,146,29,-,146,220,-,146,0.4,-,146,0.6,-,88,0.6,-,146,17,-,1406,Nein
